2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-09-01 00:22:34 | INFO    | TRAIN | epoch=001/030 | batch=03800/05033 | loss=7.625916e-01 | stage_elapsed=00:41:49 | stage_eta=00:13:34 | data_wait=4.26s
2026-09-01 00:23:07 | INFO    | TRAIN | epoch=001/030 | batch=03850/05033 | loss=7.531571e-01 | stage_elapsed=00:42:22 | stage_eta=00:13:01 | data_wait=4.28s
2026-09-01 00:23:40 | INFO    | TRAIN | epoch=001/030 | batch=03900/05033 | loss=7.413098e-01 | stage_elapsed=00:42:55 | stage_eta=00:12:28 | data_wait=4.29s
2026-09-01 00:24:15 | INFO    | TRAIN | epoch=001/030 | batch=03950/05033 | loss=6.373124e-01 | stage_elapsed=00:43:30 | stage_eta=00:11:56 | data_wait=4.30s
2026-09-01 00:24:49 | INFO    | TRAIN | epoch=001/030 | batch=04000/05033 | loss=7.142466e-01 | stage_elapsed=00:44:04 | stage_eta=00:11:23 | data_wait=4.31s
2026-09-01 00:25:20 | INFO    | TRAIN | epoch=001/030 | batch=04050/05033 | loss=7.448356e-01 | stage_elapsed=00:44:35 | stage_eta=00:10:49 | data_wait=4.33s
2026-09-01 00:25:51 | INFO    | TRAIN | epoch=001/030 | batch=04100/05033 | loss=6.925183e-01 | stage_elapsed=00:45:06 | stage_eta=00:10:16 | data_wait=4.35s
2026-09-01 00:26:25 | INFO    | TRAIN | epoch=001/030 | batch=04150/05033 | loss=7.070552e-01 | stage_elapsed=00:45:40 | stage_eta=00:09:43 | data_wait=4.36s
2026-09-01 00:26:58 | INFO    | TRAIN | epoch=001/030 | batch=04200/05033 | loss=6.982720e-01 | stage_elapsed=00:46:13 | stage_eta=00:09:10 | data_wait=4.37s
2026-09-01 00:27:31 | INFO    | TRAIN | epoch=001/030 | batch=04250/05033 | loss=7.341237e-01 | stage_elapsed=00:46:46 | stage_eta=00:08:37 | data_wait=4.38s
2026-09-01 00:28:06 | INFO    | TRAIN | epoch=001/030 | batch=04300/05033 | loss=6.682604e-01 | stage_elapsed=00:47:21 | stage_eta=00:08:04 | data_wait=4.40s
2026-09-01 00:28:36 | INFO    | TRAIN | epoch=001/030 | batch=04350/05033 | loss=6.238381e-01 | stage_elapsed=00:47:51 | stage_eta=00:07:31 | data_wait=4.41s
2026-09-01 00:29:11 | INFO    | TRAIN | epoch=001/030 | batch=04400/05033 | loss=6.994224e-01 | stage_elapsed=00:48:26 | stage_eta=00:06:58 | data_wait=4.42s
2026-09-01 00:29:43 | INFO    | TRAIN | epoch=001/030 | batch=04450/05033 | loss=6.650997e-01 | stage_elapsed=00:48:58 | stage_eta=00:06:25 | data_wait=4.44s
2026-09-01 00:30:17 | INFO    | TRAIN | epoch=001/030 | batch=04500/05033 | loss=6.605002e-01 | stage_elapsed=00:49:32 | stage_eta=00:05:52 | data_wait=4.46s
2026-09-01 00:30:51 | INFO    | TRAIN | epoch=001/030 | batch=04550/05033 | loss=7.033622e-01 | stage_elapsed=00:50:06 | stage_eta=00:05:19 | data_wait=4.47s
2026-09-01 00:31:22 | INFO    | TRAIN | epoch=001/030 | batch=04600/05033 | loss=6.935290e-01 | stage_elapsed=00:50:36 | stage_eta=00:04:46 | data_wait=4.48s
2026-09-01 00:31:55 | INFO    | TRAIN | epoch=001/030 | batch=04650/05033 | loss=7.124909e-01 | stage_elapsed=00:51:10 | stage_eta=00:04:13 | data_wait=4.50s
